,Title,Rating,Year,Genre,Rating_Score,Duration,Image_Link
47,BROKEBACK MOUNTAIN,D,2005, Romance/Drama,Fresh, 2h 14m,https://resizing.flixster.com/m6EsBGKUgGx_nxrQRf1USYR8owg=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/41914/41914_ab.jpg
48,BUTCH CASSIDY AND THE SUNDANCE KID,D,1969, Western/Action,8.20, 1h 50m,https://resizing.flixster.com/Ad8lB1M85hqhygIS6AtDpQbJ9A8=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/48975/48975_aa.jpg
49,CABARET,D,1972, Musical,8.40, 2h 4m,https://resizing.flixster.com/wLVxViPFG5tf772OJ6Uqb-6-qbs=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p720_p_v8_aa.jpg
50,THE CABINET OF DR. CALIGARI,D,1919, Horror/Fantasy,Fresh, 1h 9m,https://resizing.flixster.com/nyjFRsJaUR4MZoomT77gVtXRb2s=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p6890_p_v8_aa.jpg
51,CALL ME BY YOUR NAME,D,2017, Romance/Drama,Fresh, 2h 12m,https://resizing.flixster.com/KiME5FKeN-PDfrbKfSJZ_opz8rs=/fit-in/180x240/v2/https://resizing.flixster.com/GR7S7lf9u9iCxy-rQIYOLVQIOL0=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzJkOGVlYzY1LTA2YjItNDc5My1hZDk5LTM3MGJjMWIyYmIxYS53ZWJw
52,CAROL,D,2015, Romance/Drama,8.60, 1h 58m,https://resizing.flixster.com/d8Awvib3k0wsGnTzL2FaAUQ4SGg=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/151458/151458_aa.jpg
53,CASABLANCA,D,1942, Drama,9.50, 1h 42m,https://resizing.flixster.com/baYcpNSS4GEn7cPoW3chiWuoYyw=/fit-in/180x240/v2/https://resizing.flixster.com/wcaZelGoDPS575ju3tWP7-tBM20=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzUxNjQ2ZTQzLTJlNmItNGViYS05MDYyLWIzYTY5YzNhMzI3NS5qcGc=
54,CASINO ROYALE,D,2006, Action/Adventure,7.90, 2h 24m,https://resizing.flixster.com/i16yQMtaSGTl2HKMtVcC2N0jEYM=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p159167_p_v8_ac.jpg
55,CHILDREN OF MEN,D,2006, Sci-fi/Mystery & thriller,Fresh, 1h 49m,https://resizing.flixster.com/uPjSRFrUo56sMhVZMSRSUG4YNII=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p159796_p_v8_au.jpg
56,CHINATOWN,D,1974, Crime/Drama,Fresh, 2h 11m,https://resizing.flixster.com/z9Wwt-YaUrO7gOfxcAOwXsUWxE4=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p1933_p_v8_ad.jpg
57,CITY OF GOD,D,2002, Crime/Drama,Fresh, 2h 11m,https://resizing.flixster.com/WpL7huyi8vfvqpF0jgjcR37lFXk=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p30586_p_v8_an.jpg
58,CINEMA PARADISO,D,1988, Drama,Fresh, 2h 3m,https://resizing.flixster.com/-hImwBgHk5whcmoeihfDUy66DgY=/fit-in/180x240/v2/https://resizing.flixster.com/sobdOtO-edgkZ2sS3N2FeKYsdQE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzY3ODc5MmJmLTc5YmUtNDlmZi05NjRmLTZiMDQyZjRlNWMxZS5qcGc=
59,CITIZEN KANE,D,1941, Drama,9.70, 1h 59m,https://resizing.flixster.com/ZWfL1hfCrUAyemRB5Y38afNfX5c=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p1485_p_v8_aa.jpg
60,CITY LIGHTS,D,1931, Comedy/Drama,9.20, 1h 27m,https://resizing.flixster.com/rud5yjLBpJOLOINNoPMNFPfIwvw=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p6958_p_v8_aa.jpg
61,CLERKS,D,1994, Comedy,Fresh, 1h 31m,https://resizing.flixster.com/Wt7TSpoLwZPrpyyEoLYpg4xiCW4=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p15365_p_v8_aa.jpg
62,A CLOCKWORK ORANGE,D,1971, Drama/Comedy,Fresh, 2h 17m,https://resizing.flixster.com/jsMWU_HFIJsgYwL6OelSRq2te9Q=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p1587_p_v8_an.jpg
63,CLUELESS,D,1995, Comedy,6.90, 1h 37m,https://resizing.flixster.com/F4TAnO9gp7RMR_y7D8YECGEKNXQ=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p16942_p_v12_ax.jpg
64,COCO,D,2017, Kids & family/Comedy,8.30, 1h 49m,https://resizing.flixster.com/mfFY4V32njLt83FSGDXFf7sB6B8=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/172117/172117_ac.jpg
65,CRAZY RICH ASIANS,D,2018, Romance/Comedy,7.70, 2h 0m,https://resizing.flixster.com/SvNQ5vOpGQ1KlG39syy1jZWlwoI=/fit-in/180x240/v2/https://resizing.flixster.com/VZsEydVSIF7G1hUPkN8ytnh_tlo=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2Y3NjA2YjlmLTQ2MzUtNGQwYS05MWQyLTAxOWM3NjExZTdmNS5qcGc=
66,CREED,D,2015, Drama,7.90, 2h 13m,https://resizing.flixster.com/ZxRpJT31pMDIVijox6vcoVMNWYI=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11491087_p_v8_ad.jpg
67,"CROUCHING TIGER, HIDDEN DRAGON",D,2000, Adventure/Action,8.70, 2h 0m,https://resizing.flixster.com/Ia5aau_-R0P169VtZVZ6CBRKkFY=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p25570_p_v8_av.jpg
68,THE DARK KNIGHT,D,2008, Action/Adventure,8.60, 2h 32m,https://resizing.flixster.com/5ftl4iDlcy3_Ka2cqlzpjs6kv50=/fit-in/180x240/v2/https://resizing.flixster.com/Wg25mLoPWxjcxXzNyaSF4VGgGE4=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2ZiNjZiNWFkLWVhNzEtNDRhMC1iNGIwLTFmY2FkNzllNTJlMi5qcGc=
69,DAWN OF THE DEAD,D,1978, Horror,Fresh, 2h 6m,https://resizing.flixster.com/uVkxCW-TBO7oyjZUVfkgRYGcon8=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11744_p_v8_aa.jpg
70,THE DAY THE EARTH STOOD STILL,D,1951, Sci-fi,Fresh, 1h 32m,https://resizing.flixster.com/Gb8u-V3MDTYWL4-jYf-WAZGvhYc=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p5540_p_v8_aa.jpg
71,DAZED AND CONFUSED,D,1993, Drama,8.00, 1h 43m,https://resizing.flixster.com/4bneNJFr8vOWxY9NRfXwfwBHwX4=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p14845_p_v8_ai.jpg
72,DEAD POETS SOCIETY,D,1989, Drama,7.20, 2h 8m,https://resizing.flixster.com/9LgCsmSUJDm4ibh2ZDa-989lJA0=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11671_p_v8_ad.jpg
73,DIE HARD,D,1988, Action/Mystery & thriller,8.60, 2h 11m,https://resizing.flixster.com/2Ofo1mfJUkL-_l4EDl3NEy2Ji0o=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10255_p_v8_aw.jpg
74,DO THE RIGHT THING,D,1989, Drama,Fresh, 2h 0m,https://resizing.flixster.com/H5JR14GbU-Wy0rS5AytQ4y7uHq8=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11644_p_v8_ab.jpg
75,DOCTOR ZHIVAGO,D,1965, Romance/History,Fresh, 3h 17m,https://resizing.flixster.com/t4dyeMNxOLBcp1w-hVONJV-On_E=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p378_p_v8_af.jpg
76,DOG DAY AFTERNOON,D,1975, Crime/Drama,Fresh, 2h 10m,https://resizing.flixster.com/LAHASdxIJ97Wxfo9lV9Ad2YD49M=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p617_p_v8_aa.jpg
77,DON'T LOOK NOW,D,1973, Mystery & thriller,8.90, 1h 50m,https://resizing.flixster.com/QFN_1qlqZZu5QTXzTrUQIbC4c8M=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p1785_p_v12_ai.jpg
78,DOUBLE INDEMNITY,D,1944, Crime/Drama,Fresh, 1h 46m,https://resizing.flixster.com/T19FHKBaY1WL0cxUXivG3drNEk0=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p2033_p_v8_ah.jpg
79,DR. STRANGELOVE OR: HOW I LEARNED TO STOP WORRYING AND LOVE THE BOMB,D,1964, Comedy,9.10, 1h 33m,https://resizing.flixster.com/8N9vcOffBrqT47MzfxjqiMVir7g=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p1816_p_v8_aa.jpg
80,DRACULA,D,1931, Horror,Fresh, 1h 15m,https://resizing.flixster.com/TN2jnEvOdlefNF7Tlkpq9f0_5-k=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p686_p_v8_ab.jpg
81,DRIVE,D,2011, Crime/Drama,Fresh, 1h 40m,https://resizing.flixster.com/O9hLGhrO14vIJyap_V8WMqY3SDo=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8609718_p_v12_ar.jpg
82,DRUNKEN MASTER II,D,1994, Action/Comedy,Fresh, 1h 42m,https://resizing.flixster.com/F3Hum6gwL4YlYmMYPf-MUNldcT8=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p25808_p_v8_af.jpg
83,DUCK SOUP,D,1933, Comedy,Fresh, 1h 10m,https://resizing.flixster.com/fCi8AmJeYhzzN7bNWUUfkBapvUA=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p4226_p_v8_aa.jpg
