,Title,Genre,Image_Link
66,Nashville,Comedy,https://www.metacritic.com/a/img/resize/587879fb94276a087892ca4e44e736b8361a0e4b/catalog/provider/2/2/2-3991a018a716a0c5daf82ab8039d56c9.jpg?auto=webp&fit=cover&height=132&width=88
67,Red River,Drama,https://www.metacritic.com/a/img/resize/734ab68a21f53f1d6f3a77b9f3cceca5a5170672/catalog/provider/2/2/2-07a711edf7dd6a698e5cb9c04739c16c.jpg?auto=webp&fit=cover&height=132&width=88
68,The Philadelphia Story,Comedy,https://www.metacritic.com/a/img/resize/4eccbc4ba33ad55520d72f8ce393aa58e350223c/catalog/provider/2/2/2-86e457837268ad91927c01ca255850c7.jpg?auto=webp&fit=cover&height=132&width=88
69,Sansho the Bailiff,Drama,https://www.metacritic.com/a/img/resize/a26cad40c43d8fb21656ab4c8e7e164201e57aa4/catalog/provider/2/2/2-5f76a815b59265fa74c9ad378a5c07cb.jpg?auto=webp&fit=cover&height=132&width=88
70,Ratatouille,Animation,https://www.metacritic.com/a/img/resize/6c04d981f26ed64c943d092db34241df224abcc1/catalog/provider/2/2/2-78b6365b44df63a53040c98f9d53a82c.jpg?auto=webp&fit=cover&height=132&width=88
71,The Grapes of Wrath,Drama,https://www.metacritic.com/a/img/resize/e19e42afa5d862f91b14682671bba9fc99c3bb8b/catalog/provider/2/2/2-f47f8aa96575a9dce1d63148db2bbf01.jpg?auto=webp&fit=cover&height=132&width=88
72,Snow White and the Seven Dwarfs,Animation,https://www.metacritic.com/a/img/resize/052457d19275cd743c8991b62c4111802390dea6/catalog/provider/2/2/2-28142e4ee2c0aa2ba50da9c5fdeaa240.jpg?auto=webp&fit=cover&height=132&width=88
73,Children of Paradise (1945),Drama,https://www.metacritic.com/a/img/resize/0bfbc7a75c35b8ce9569c91211b5905ca0a9699c/catalog/provider/2/2/2-3c07077bfe797aae0d60fee9035bb61f.jpg?auto=webp&fit=cover&height=132&width=88
74,Mean Streets,Crime,https://www.metacritic.com/a/img/resize/ab99f0650d36061e2554506b8d8deffe9521d8a1/catalog/provider/2/2/2-fc48c7e275e29df6bc88dc2f7b4e1a4f.jpg?auto=webp&fit=cover&height=132&width=88
75,A Hard Day's Night (re-release),Comedy,https://www.metacritic.com/a/img/resize/e3cc4049b0feb6d593bd5d521919ec3d567913b4/catalog/provider/2/2/2-f91de10d23f397a6fa41c67ab26846db.jpg?auto=webp&fit=cover&height=132&width=88
76,The Lady Eve,Comedy,https://www.metacritic.com/a/img/resize/0dfaa4f04d892a89cbf236b75e973af2b898861c/catalog/provider/2/2/2-c01d768b7b9cda1fce0d4355c592f5b2.jpg?auto=webp&fit=cover&height=132&width=88
77,Gravity,Drama,https://www.metacritic.com/a/img/resize/3c6942a3a6cdfbc5911bab4f555305d76354f732/catalog/provider/2/2/2-e6df13361d920ca3d795ee38007bcd5f.jpg?auto=webp&fit=cover&height=132&width=88
78,Fantasia,Animation,https://www.metacritic.com/a/img/resize/d5d525da8bdb13f156bfb0658233316aab3a6d92/catalog/provider/2/2/2-99b73322696af42ecdf3c526f5eaf78b.jpg?auto=webp&fit=cover&height=132&width=88
79,Beauty and the Beast,Animation,https://www.metacritic.com/a/img/resize/2c09ba24068d667fb50541682b3a923b21cc6660/catalog/provider/2/2/2-7fbd324c4543f47b2810fcc09a63b046.jpg?auto=webp&fit=cover&height=132&width=88
