,Title,Rating,Year,Genre,Rating_Score,Duration,Image_Link
36,TURNING RED,R,2022, Kids & family/Comedy,['8.10'], 1h 40m,https://resizing.flixster.com/bzipESk8CBuKKGUPc4UidZ-tu6o=/206x305/v2/https://resizing.flixster.com/gT6NcfmUJNbiOz3gPUByxps_FcM=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzM0YWFlNzMzLWViMDAtNDAyZi1iY2RmLWMzNzkxNzUzMzA0Yi5qcGc=
37,BRAWL IN CELL BLOCK 99,R,2017, Action/Mystery & thriller,['7.60'], 2h 12m,https://resizing.flixster.com/2PCFjYscNRU3YbyzIHIGwW7_9bc=/206x305/v2/https://resizing.flixster.com/sdDvXrsb95D2bCYFgXBAfbVEASU=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2U2NTBkNzg4LWU1NzUtNDBkMy05M2UzLTNmNGQ5MTFiZmY5ZC53ZWJw
38,REBEL MOON: PART ONE - A CHILD OF FIRE,R,2023, Sci-fi/Action,['4.20'], 2h 15m,https://resizing.flixster.com/CCTwucvqizkxoWsRKclAQauBRAQ=/206x305/v2/https://resizing.flixster.com/2bpFxoybigCD78l_tMP4wE7m6j4=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2IwMmU1NmEwLTM0MzQtNDYzMC1iNWExLWFiMmNiMzRkNzcwZC5qcGc=
39,SMOKE SAUNA SISTERHOOD,R,2023, Documentary,['7.60'], 1h 29m,https://resizing.flixster.com/a1PcH8MX2kC18SvBswvAlFBfNlQ=/206x305/v2/https://resizing.flixster.com/iPHRk6MQoTe1RWr1bBhqO7mvgdI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2RjNTFkYjJkLWFhZDEtNDYzZS1hNmYwLWM5NjVmNjhlZmNiYy5qcGc=
40,THE COLOR PURPLE,R,2023, Musical/Drama,['7.30'], 2h 21m,https://resizing.flixster.com/NSxMDfL501_tRHU2sENXnYIzGJo=/206x305/v2/https://resizing.flixster.com/_8mqDG_CFMbH75r18jov-puBBzA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzZiMzNiZmJiLTk1ODItNDBhMi05M2Y1LTJmMjJkNzUwNzJiYy5qcGc=
41,TALK TO ME,R,2023, Horror/Mystery & thriller,['7.70'], 1h 35m,https://resizing.flixster.com/ejS3S8JOBfvZr_fQ_--6SyKKJpQ=/206x305/v2/https://resizing.flixster.com/9WxKriao1BmRamIaqig2k8hd5uM=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2YyZDQwYTM2LWZmYzEtNGUwMC05NzRkLTA3ODM0NThiNDE4Ny5qcGc=
42,365 DAYS,R,2020, Drama/Romance,['Fresh'], 1h 56m,https://resizing.flixster.com/WVcZJfrTqtOXhll1hI6Ic5wmzX8=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p17931073_p_v13_ac.jpg
43,ROLE PLAY,R,2023, Mystery & thriller,['4.90'], 1h 40m,https://resizing.flixster.com/8L_vZUtneGMFu1w3UWH2R5ONpfg=/206x305/v2/https://resizing.flixster.com/8e12ovplJ1mxC0lYBrWDy7JbtRY=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2E2ODU4YTEyLWRjOTAtNDJkOC1iMzM1LWE1M2FlMjYyZDI4OS5qcGc=
44,WHEN EVIL LURKS,R,2023, Horror,['7.80'], 1h 39m,https://resizing.flixster.com/pYKve2Su8tEGhH0tDOVXySIZUeQ=/206x305/v2/https://resizing.flixster.com/jRxONmZil0CTIu8L0mZJTbLLGrY=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2FiOWRlZjQ2LTY5OTctNGRmZi1hM2IwLWI5ZWQzYmQ4ZmFkYS5qcGc=
45,THE HUNGER GAMES: THE BALLAD OF SONGBIRDS & SNAKES,R,2023, Action/Adventure,['6.30'], 2h 37m,https://resizing.flixster.com/0CWwZumjk0f2jLSRyj3t3mvrE7E=/206x305/v2/https://resizing.flixster.com/cli2xj07iMBQ-KDgwpiVxGPlt0I=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2I4MDI3YjY5LTY1OGEtNDgzYi1iMzIxLWE1MWRkMTdlMzU1Ni5qcGc=
